SENTENCE,ITEM 1,ITEM 2,ITEM 3,ITEM 4,ITEM 5
Treatment of allergic rhinitis with intranasal corticosteroids in patients with mild asthma: effect on lower airway responsiveness,0,0,0,0,0
"The effect of treatment of allergic rhinitis with intranasal corticosteroids on lower airway responsiveness was assessed in a randomized, double-blind, placebo-controlled, crossover study",1,1,0,0,0
"Twenty-one young patients with perennial allergic rhinitis and asthma, with documented lower airway hyperresponsiveness (PC20 methacholine < 8 mg/ml), were treated with intranasal aqueous beclomethasone dipropionate and placebo, each given for 4 weeks",0,0,0,0,0
Patients recorded rhinitis and asthma symptom scores and monitored peak expiratory flow rates every morning and evening,0,0,0,0,0
Patients recorded global assessment of rhinitis and global asthma symptom scores at the beginning and end of each treatment,0,0,0,0,0
PC20 methacholine was performed at baseline and at the end of each treatment period,0,0,0,0,0
Intranasal beclomethasone dipropionate significantly reduced global rhinitis symptom scores (p = 0.05) after 4 weeks of treatment,0,0,0,0,0
Global asthma scores did not change significantly (p = 0.2),0,0,0,0,0
"Geometric mean PC20 methacholine improved significantly after 4 weeks of intranasal beclomethasone, but not after placebo (p = 0.04)",0,0,0,0,0
"Daily morning and evening rhinitis symptom scores were lower in patients treated with intranasal corticosteroids over the first 4 weeks of treatment, but carryover effect of steroids precluded comparative analysis of the second 4-week block (morning p = 0.06, evening p = 0.03)",0,0,0,0,0
Morning asthma scores tended to decrease (p = 0.07),0,0,0,0,0
"Evening asthma scores were significantly decreased at weeks 2 and 3 (p = 0.001, p = 0.02, respectively)",0,0,0,0,0
No change in peak expiratory flow rate was seen,0,0,0,0,0
This study confirms that treatment of inflammation in the upper airways indirectly improves asthma symptoms and decreases bronchial hyperreactivity,0,0,0,0,0
Ignoring inflammation in the upper airway may lead to suboptimal results in asthma treatment.,0,0,0,0,0
Once-daily budesonide: 400 micrograms once daily is as effective as 200 micrograms twice daily in controlling childhood asthma,0,0,0,0,0
PETITE Research Group,0,0,0,0,0
One hundred and sixty seven children on 0-200 microgram/day of inhaled steroid with asthma symptoms and sub-optimal peak flow values (less than 90% of that predicted for their height) were randomly allocated either 400 microgram once daily (nocte with placebo o.m.) or 200 mircrogram twice daily of budesonide Turbohaler for 8 weeks,1,0,0,1,0
Bronchdilator usage and symptoms were reduced in both groups at 4 and 8 weeks compared with baseline,0,0,0,0,0
There was a significant increase within both groups in morning and evening PEF after 4 and 8 weeks,0,0,0,0,0
"The increase in evening PEF after 8 weeks was greater in the once-daily group than in the twice-daily group but there were no other significant differences between the groups (morning: +24.6 l/min vs 15.2 l/min, p = 0.059; evening: + 19.7 l/min vs +8.31 l/min; p = 0.013)",0,0,0,0,0
Budesonide Turbohaler 400 microgram once daily is therefore as effective as 200 microgram twice daily in achieving asthma control in children.,0,0,0,0,0
Clinical efficacy of low-dose inhaled budesonide once or twice daily in children with mild asthma not previously treated with steroids,0,0,0,0,0
"The aim of the present study was to examine the efficacy of low-dose inhaled budesonide (BUD) administered via Turbuhaler once or twice daily on symptoms, lung function and bronchial hyperreactivity in children with mild asthma",0,0,0,0,0
"One hundred and sixty-three children (mean age 9.9 yrs, 56 females/107 males) with mild asthma (forced expiratory volume in one second (FEV1) 103% of predicted, morning peak expiratory flow (PEF) 87% pred, reversibility in FEV1 3%, fall in FEV1 after exercise 10.4% from pre-exercise value) and not previously treated with inhaled steroids, were included in a double-blind, randomized, parallel-group study",1,1,0,0,0
"After a two-week run-in period, the children received inhaled BUD 100 microg or 200 microg once daily in the morning, 100 microg twice daily or placebo for 12 weeks",0,0,0,0,0
Exercise and methacholine challenges were performed before and at the end of treatment,0,0,0,0,0
"After 12 weeks of therapy, the fall in FEV1 after an exercise test was significantly less in all three BUD groups (43-5.1%) than in the placebo group (8.6%)",0,0,0,0,0
Bronchial hyperreactivity to methacholine with the provocative dose causing a 20% fall in FEV1 decreased significantly in the BUD 100 microg twice-daily group compared with placebo (ratio at the end of treatment 156%),0,0,0,0,0
Changes in baseline lung function (FEV1 and PEF) were less marked than changes in bronchial responsiveness,0,0,0,0,0
"In conclusion, low doses of inhaled budesonide, given once or twice daily, provided protection against exercise-induced bronchoconstriction in children with mild asthma and near normal lung function.",0,0,0,0,0
Adverse effect of inhaled budesonide (800 μgr) on growth and collagen turnover in children with asthma: a double-blind comparison of once-daily versus twice-daily administration,0,1,0,0,0
"Methods: A randomized, double-blind, crossover trial with 2 treatment periods of 4 weeks was conducted, and growth was assessed with a knemometer",1,1,0,0,0
Objective: To compare short-term growth and markers of collagen turnover during treatment with 800 micrograms of inhaled budesonide administered once daily in the morning and 400 micrograms administered twice daily.,0,0,0,0,0
